Latest: Time (min),Latest: Potential (mV)
0,1.575259635
0.008333333,1.715501025
0.016666667,1.699806145
0.025,1.692211845
0.033333333,1.595004805
0.041666667,1.593992235
0.05,1.590954515
0.058333333,1.606143115
0.066666667,1.664872365
0.075,1.684617545
0.083333333,1.696768425
0.091666667,1.657278065
0.1,1.663859795
0.108333333,1.666897515
0.116666667,1.641583175
0.125,1.692211845
0.133333333,1.679048385
0.141666667,1.661328355
0.15,1.668922655
0.158333333,1.628419725
0.166666667,1.625888295
0.175,1.543363575
0.183333333,1.657278065
0.191666667,1.700312425
0.2,1.681579825
0.208333333,1.711957015
0.216666667,1.734233635
0.225,1.761573105
0.233333333,1.767142265
0.241666667,1.764104545
0.25,1.763091965
0.258333333,1.760560535
0.266666667,1.787393725
0.275,1.782837145
0.283333333,1.699806145
0.291666667,1.680060965
0.3,1.661328355
0.308333333,1.632976305
0.316666667,1.712969595
0.325,1.696768425
0.333333333,1.683604965
0.341666667,1.512480095
0.35,1.560071035
0.358333333,1.549945305
0.366666667,1.544376145
0.375,1.533744125
0.383333333,1.672466665
0.391666667,1.685630115
0.4,1.683604965
0.408333333,1.658290635
0.416666667,1.531212695
0.425,1.587410515
0.433333333,1.581841355
0.441666667,1.581841355
0.45,1.553489305
0.458333333,1.642595755
0.466666667,1.623863145
0.475,1.663353505
0.483333333,1.513998955
0.491666667,1.489190905
0.5,1.476027455
0.508333333,1.465395435
0.516666667,1.501848075
0.525,1.481596605
0.533333333,1.476533745
0.541666667,1.440587395
0.55,1.418817065
0.558333333,1.359581535
0.566666667,1.643439565
0.575,2.368442005
0.583333333,3.617957385
0.591666667,4.618886035
0.6,5.278577505
0.608333333,5.022396475
0.616666667,4.296887745
0.625,3.438225635
0.633333333,2.687402575
0.641666667,2.122892995
0.65,1.778618095
0.658333333,1.569015425
0.666666667,1.444975205
0.675,1.358062675
0.683333333,1.393502735
0.691666667,1.404641045
0.7,1.494760055
0.708333333,1.367175835
0.716666667,1.402615895
0.725,1.371226125
0.733333333,1.368188405
0.741666667,1.366163255
0.75,1.376795275
0.758333333,1.358906485
0.766666667,1.361606675
0.775,1.364644395
0.783333333,1.377639085
0.791666667,1.395865405
0.8,1.367513355
0.808333333,1.382364425
0.816666667,1.387933585
0.825,1.384389575
0.833333333,1.403122185
0.841666667,1.360931625
0.85,1.358906485
0.858333333,1.399071885
0.866666667,1.434005665
0.875,1.416791915
0.883333333,1.361944205
0.891666667,1.369538505
0.9,1.368525925
0.908333333,1.371057365
0.916666667,1.417804495
0.925,1.424386215
0.933333333,1.426917655
0.941666667,1.374095085
0.95,1.378651655
0.958333333,1.378651655
0.966666667,1.427930225
0.975,1.434511955
0.983333333,1.381689375
0.991666667,1.433499375
1,1.374095085
1.008333333,1.376120225
1.016666667,1.389283675
1.025,1.389789965
1.033333333,1.415273055
1.041666667,1.420842215
1.05,1.377639085
1.058333333,1.373082505
1.066666667,1.521930775
1.075,1.929997795
1.083333333,2.997249985
1.091666667,4.427003405
1.1,5.831442495
1.108333333,6.925021595
1.116666667,7.555854725
1.125,7.672806935
1.133333333,7.416625905
1.141666667,6.707824635
1.15,6.103824695
1.158333333,5.484129875
1.166666667,4.772290885
1.175,4.115130845
1.183333333,3.481259995
1.191666667,3.029146045
1.2,2.679301985
1.208333333,2.380592885
1.216666667,2.274778975
1.225,2.108716965
1.233333333,1.987208175
1.241666667,1.861649095
1.25,1.758872915
1.258333333,1.704700245
1.266666667,1.662172165
1.275,1.701662525
1.283333333,1.674829335
1.291666667,1.603442915
1.3,1.559395985
1.308333333,1.533069075
1.316666667,1.521930775
1.325,1.508767325
1.333333333,1.578128585
1.341666667,1.571546865
1.35,1.495603865
1.358333333,1.507754745
1.366666667,1.492059865
1.375,1.569521715
1.383333333,1.565977705
1.391666667,1.568002855
1.4,1.420167165
1.408333333,1.504210745
1.416666667,1.509779895
1.425,1.581166305
1.433333333,1.587748035
1.441666667,1.580153735
1.45,1.518386765
1.458333333,1.520918205
1.466666667,1.526487355
1.475,1.538638235
1.483333333,1.587241745
1.491666667,1.595848625
1.5,1.464720385
1.508333333,1.552814255
1.516666667,1.534081655
1.525,1.539650805
1.533333333,1.587748035
1.541666667,1.583697745
1.55,1.566990285
1.558333333,1.533069075
1.566666667,1.531550215
1.575,1.533069075
1.583333333,1.579141165
1.591666667,1.581672595
1.6,1.583697745
1.608333333,1.588254325
1.616666667,1.591292045
1.625,1.575090865
1.633333333,1.578128585
1.641666667,1.538638235
1.65,1.537119375
1.658333333,1.561927415
1.666666667,1.691536795
1.675,1.903670885
1.683333333,2.355278555
1.691666667,3.053447805
1.7,4.315620345
1.708333333,5.794989855
1.716666667,7.439915085
1.725,9.021048205
1.733333333,10.34549401
1.741666667,11.31553918
1.75,11.93827172
1.758333333,12.2303991
1.766666667,12.26229516
1.775,12.0486422
1.783333333,11.65930779
1.791666667,11.14694573
1.8,10.51965661
1.808333333,9.807311325
1.816666667,9.152176445
1.825,8.371482475
1.833333333,7.603951955
1.841666667,6.677953725
1.85,6.064840625
1.858333333,5.413249745
1.866666667,4.946453475
1.875,4.321189505
1.883333333,3.883757865
1.891666667,3.492398305
1.9,3.290389945
1.908333333,3.023576895
1.916666667,2.802835925
1.925,2.475774765
1.933333333,2.355278555
1.941666667,2.233769765
1.95,2.129474715
1.958333333,2.034292835
1.966666667,2.083908925
1.975,2.016066515
1.983333333,1.959362415
1.991666667,1.916834335
2,1.879369125
2.008333333,1.844941635
2.016666667,1.817095875
2.025,1.771023795
2.033333333,1.614581225
2.041666667,1.665209885
2.05,1.632301255
2.058333333,1.621162955
2.066666667,1.724951705
2.075,1.607999495
2.083333333,1.684955065
2.091666667,1.704700245
2.1,1.691536795
2.108333333,1.679385915
2.116666667,1.683942495
2.125,1.671791615
2.133333333,1.537625655
2.141666667,1.513830185
2.15,1.468770675
2.158333333,1.418142015
2.166666667,1.401434555
2.175,1.456282275
2.183333333,1.663353505
2.191666667,1.946874015
2.2,2.450629195
2.208333333,2.863252795
2.216666667,3.411054915
2.225,4.026699455
2.233333333,4.607410205
2.241666667,5.268114246
2.25,5.904010242
2.258333333,6.473076404
2.266666667,6.928228077
2.275,7.282122425
2.283333333,7.494256519
2.291666667,7.567668079
2.3,7.517039417
2.308333333,7.230481189
2.316666667,7.083658069
2.325,6.647239002
2.333333333,6.40472771
2.341666667,5.970333789
2.35,5.537965015
2.358333333,5.085851062
2.366666667,4.645887989
2.375,4.228201525
2.383333333,3.785200735
2.391666667,3.455608145
2.4,3.132090995
2.408333333,2.833381885
2.416666667,2.581251145
2.425,2.281023185
2.433333333,2.174196705
2.441666667,2.056231925
2.45,1.942823715
2.458333333,1.822327505
2.466666667,1.751953665
2.475,1.686642685
2.483333333,1.640570605
2.491666667,1.596523665
2.5,1.526656115
2.508333333,1.509442375
2.516666667,1.495772635
2.525,1.487165755
2.533333333,1.517036675
2.541666667,1.502354355
2.55,1.498304065
2.558333333,1.495772635
2.566666667,1.499316635
2.575,1.460838855
2.583333333,1.499316635
2.591666667,1.503873215
2.6,1.505898365
2.608333333,1.480584035
2.616666667,1.486153185
2.625,1.438562245
2.633333333,1.419829635
2.641666667,1.402615895
2.65,1.377807845
2.658333333,1.362619255
2.666666667,1.374095085
2.675,1.390802535
2.683333333,1.400421985
2.691666667,1.392490165
2.7,1.441431205
2.708333333,1.447000355
2.716666667,1.370213555
2.725,1.357387625
2.733333333,1.375782705
2.741666667,1.378314135
2.75,1.386921005
2.758333333,1.395527885
2.766666667,1.486490715
2.775,1.429280325
2.783333333,1.421686025
2.791666667,1.415104295
2.8,1.405991135
2.808333333,1.386245955
2.816666667,1.384220815
2.825,1.382195665
2.833333333,1.436537095
2.841666667,1.374095085
2.85,1.432993095
2.858333333,1.423373645
2.866666667,1.426411365
2.875,1.411222765
2.883333333,1.424386215
2.891666667,1.462864005
2.9,1.405991135
2.908333333,1.371057365
2.916666667,1.404978565
2.925,1.381689375
2.933333333,1.376626515
2.941666667,1.379664235
2.95,1.373082505
2.958333333,1.399071885
2.966666667,1.391477585
2.975,1.385908435
2.983333333,1.383377005
2.991666667,1.410547715
3,1.410547715